FREQ,REF_AREA,SEASONAL_ADJUST,INDICATOR,ACTIVITY,TIME_PERIOD,OBS_VALUE,BASE_PER
Q,GR,Y,LCI_T,BTS,2000-Q2,80.1,2012
Q,GR,Y,LCI_T,GTJ,2000-Q2,77,2012
Q,GR,Y,LCI_T,GTN,2000-Q2,77.9,2012
Q,GR,Y,LCI_T,KTN,2000-Q2,79.7,2012
Q,GR,Y,LCI_T,OTS,2000-Q2,83,2012
Q,GR,Y,LCI_T,PTS,2000-Q2,87.8,2012
Q,GR,Y,LCI_WAG,B,2000-Q2,69.9,2012
Q,GR,Y,LCI_WAG,C,2000-Q2,90.7,2012
Q,GR,Y,LCI_WAG,D,2000-Q2,50.4,2012
Q,GR,Y,LCI_WAG,E,2000-Q2,70.1,2012
Q,GR,Y,LCI_WAG,F,2000-Q2,91,2012
Q,GR,Y,LCI_WAG,G,2000-Q2,63.1,2012
Q,GR,Y,LCI_WAG,H,2000-Q2,85.6,2012
Q,GR,Y,LCI_WAG,I,2000-Q2,99.3,2012
Q,GR,Y,LCI_WAG,J,2000-Q2,84.8,2012
Q,GR,Y,LCI_WAG,L,2000-Q2,91.8,2012
Q,GR,Y,LCI_WAG,K,2000-Q2,96.6,2012
Q,GR,Y,LCI_WAG,M,2000-Q2,65.9,2012
Q,GR,Y,LCI_WAG,N,2000-Q2,70.7,2012
Q,GR,Y,LCI_WAG,O,2000-Q2,77.8,2012
Q,GR,Y,LCI_WAG,P,2000-Q2,90.9,2012
Q,GR,Y,LCI_WAG,Q,2000-Q2,90.8,2012
Q,GR,Y,LCI_WAG,R,2000-Q2,81.8,2012
Q,GR,Y,LCI_WAG,S,2000-Q2,76,2012
Q,GR,Y,LCI_WAG,BTE,2000-Q2,80.5,2012
Q,GR,Y,LCI_WAG,BTF,2000-Q2,82.8,2012
Q,GR,Y,LCI_WAG,BTN,2000-Q2,78.5,2012
Q,GR,Y,LCI_WAG,BTS,2000-Q2,79.9,2012
Q,GR,Y,LCI_WAG,GTJ,2000-Q2,73.9,2012
Q,GR,Y,LCI_WAG,GTN,2000-Q2,76.7,2012
Q,GR,Y,LCI_WAG,KTN,2000-Q2,83.9,2012
Q,GR,Y,LCI_WAG,OTS,2000-Q2,82.7,2012
Q,GR,Y,LCI_WAG,PTS,2000-Q2,87,2012
Q,GR,Y,LCI_O,B,2000-Q2,139.9,2012
Q,GR,Y,LCI_O,C,2000-Q2,77.5,2012
Q,GR,Y,LCI_O,D,2000-Q2,57.3,2012
Q,GR,Y,LCI_O,E,2000-Q2,66.5,2012
Q,GR,Y,LCI_O,F,2000-Q2,76.5,2012
Q,GR,Y,LCI_O,G,2000-Q2,105.9,2012
Q,GR,Y,LCI_O,H,2000-Q2,61.7,2012
Q,GR,Y,LCI_O,I,2000-Q2,83,2012
Q,GR,Y,LCI_O,J,2000-Q2,70.7,2012
Q,GR,Y,LCI_O,L,2000-Q2,45.4,2012
Q,GR,Y,LCI_O,K,2000-Q2,78.4,2012
Q,GR,Y,LCI_O,M,2000-Q2,43,2012
Q,GR,Y,LCI_O,N,2000-Q2,56.4,2012
Q,GR,Y,LCI_O,O,2000-Q2,77.1,2012
Q,GR,Y,LCI_O,P,2000-Q2,82.5,2012
Q,GR,Y,LCI_O,Q,2000-Q2,126.1,2012
Q,GR,Y,LCI_O,R,2000-Q2,252.8,2012
Q,GR,Y,LCI_O,S,2000-Q2,106.7,2012
Q,GR,Y,LCI_O,BTE,2000-Q2,75.3,2012
Q,GR,Y,LCI_O,BTF,2000-Q2,75.9,2012
Q,GR,Y,LCI_O,BTN,2000-Q2,79.9,2012
Q,GR,Y,LCI_O,BTS,2000-Q2,80.9,2012
Q,GR,Y,LCI_O,GTJ,2000-Q2,89.3,2012
Q,GR,Y,LCI_O,GTN,2000-Q2,82.1,2012
Q,GR,Y,LCI_O,KTN,2000-Q2,67.2,2012
Q,GR,Y,LCI_O,OTS,2000-Q2,83.3,2012
Q,GR,Y,LCI_O,PTS,2000-Q2,91,2012
Q,GR,W,LCI_T,B,2000-Q2,77.8,2012
Q,GR,W,LCI_T,C,2000-Q2,87.5,2012
Q,GR,W,LCI_T,D,2000-Q2,52.9,2012
Q,GR,W,LCI_T,E,2000-Q2,67.2,2012
